time,node,CPU_Power (W),MEM_Power (W),PSU1_IIN (% A),PSU1_PIN (W),PSU1_POUT (W),PSU2_IIN (% A),PSU2_PIN (W),PSU2_POUT (W),Total_Power (W)
2023-06-15T11:00:21.812,n3,47.0,0.0,0.5,102.0,76.0,0.45,96.0,76.0,198.0
2023-06-15T11:00:21.812,n4,0.0,0.0,0.15,24.0,12.0,0.15,24.0,12.0,48.0
2023-06-15T11:00:51.814,n1,87.0,55.0,0.65,126.0,108.0,0.6,126.0,108.0,252.0
2023-06-15T11:00:51.814,n2,82.0,43.0,0.65,132.0,108.0,0.6,126.0,116.0,258.0
2023-06-15T11:00:51.814,n3,44.0,18.0,0.5,96.0,68.0,0.45,102.0,76.0,198.0
2023-06-15T11:00:51.814,n4,0.0,0.0,0.15,24.0,12.0,0.15,24.0,12.0,48.0
2023-06-15T11:01:21.842,n1,59.0,30.0,0.55,114.0,92.0,0.55,108.0,84.0,222.0
2023-06-15T11:01:21.842,n2,82.0,44.0,0.65,132.0,116.0,0.6,126.0,116.0,258.0
2023-06-15T11:01:21.842,n3,46.0,22.0,0.5,102.0,76.0,0.45,102.0,76.0,198.0
2023-06-15T11:01:21.842,n4,0.0,0.0,0.15,24.0,12.0,0.15,24.0,12.0,48.0
2023-06-15T11:01:51.872,n1,60.0,40.0,0.6,120.0,92.0,0.55,114.0,100.0,234.0
2023-06-15T11:01:51.872,n2,83.0,40.0,0.65,132.0,108.0,0.6,126.0,108.0,258.0
2023-06-15T11:01:51.872,n3,44.0,0.0,0.5,96.0,68.0,0.5,102.0,68.0,198.0
2023-06-15T11:01:51.872,n4,0.0,0.0,0.15,24.0,12.0,0.15,24.0,12.0,48.0
2023-06-15T11:02:21.929,n1,60.0,44.0,0.6,120.0,92.0,0.55,114.0,100.0,234.0
2023-06-15T11:02:21.930,n2,82.0,42.0,0.65,132.0,100.0,0.6,126.0,100.0,258.0
2023-06-15T11:02:21.930,n3,43.0,16.0,0.5,102.0,84.0,0.45,96.0,76.0,198.0
2023-06-15T11:02:21.930,n4,0.0,0.0,0.15,24.0,12.0,0.15,24.0,12.0,48.0
2023-06-15T11:02:51.856,n1,58.0,31.0,0.55,114.0,92.0,0.55,108.0,84.0,222.0
2023-06-15T11:02:51.856,n2,82.0,43.0,0.65,132.0,100.0,0.6,126.0,116.0,258.0
2023-06-15T11:02:51.856,n3,46.0,14.0,0.5,96.0,68.0,0.5,102.0,68.0,198.0
2023-06-15T11:02:51.856,n4,0.0,0.0,0.15,24.0,12.0,0.15,24.0,12.0,48.0
2023-06-15T11:03:21.960,n1,59.0,33.0,0.55,114.0,92.0,0.55,108.0,92.0,222.0
2023-06-15T11:03:21.960,n2,87.0,41.0,0.65,132.0,108.0,0.6,126.0,108.0,258.0
2023-06-15T11:03:21.961,n3,49.0,7.0,0.5,102.0,76.0,0.5,102.0,76.0,198.0
